COM,IRIS,LIBIRIS,LIBCOM,LIB_EPCI_SUB,P18_POP,P18_POP0002,P18_POP0305,P18_POP0610,P18_POP1117,P18_POP1824,P18_POP2539,P18_POP4054,P18_POP5564,P18_POP6579,P18_POP80P
93078,930780116,Sud Gare,Villepinte,Paris Terres d'Envol,3032.02146983817,168.269975837838,82.7602864084549,163.324433207221,195.150832389278,271.78649963564,822.32412848267,626.691444927365,398.755355906738,235.439581295884,67.5189317470798
93079,930790101,Quartier 1,Villetaneuse,Plaine Commune,1913.90181616593,81.6365477035019,103.032276792977,155.645964774327,270.65262761508,145.971244483446,378.7616814262,359.245597294848,190.20759912791,199.127011771056,29.6212651765804
93079,930790102,Quartier 2,Villetaneuse,Plaine Commune,4328.16932194356,214.382208674265,177.498442803639,329.317598451355,492.027519483511,503.759548035233,879.779291696362,830.551293276953,443.193969773275,377.73130154181,79.9281482071522
93079,930790103,Quartier 3,Villetaneuse,Plaine Commune,2229.3503977541,97.8693516098736,78.6457136051731,227.439701787546,259.199096148668,293.892066246692,372.673510676716,416.812304349309,223.934007270061,221.673745750424,37.2109003096398
93079,930790104,Quartier 4,Villetaneuse,Plaine Commune,2678.44569516935,139.68712607064,121.258768478468,248.325907023447,284.793237335638,249.178166402977,492.912424138822,503.327961793915,292.268981118687,293.240485250925,53.4526375558324
93079,930790105,Quartier 5,Villetaneuse,Plaine Commune,2407.13276896706,145.103014280342,108.034728135859,221.365576576556,232.169563766998,227.741866453461,528.660115634555,427.359083218412,205.455949364371,238.384833998578,72.8580375379307
94001,940010000,Ablon-sur-Seine (commune non irisÇe),Ablon-sur-Seine,Grand-Orly Seine Biävre,5818,267.774414291237,267.774414291237,451.931539361419,545.503267775457,448.945207603524,1300.05425739408,1190.56442385232,545.530260518618,516.549241993558,283.372972918548
94002,940020101,Chinagora Berthelot,Alfortville,Grand Paris Sud Est Avenir,3087.05383793198,160.424912571803,101.892905053221,202.429204385359,269.251588956965,352.11188147197,803.204447215371,675.817065308237,223.556433517242,217.633864418303,80.731535033509
94002,940020102,Tony Garnier Soladier,Alfortville,Grand Paris Sud Est Avenir,3762.9715016029,205.255906228793,183.532881548471,191.152140670942,226.656080501752,311.462451043829,1176.62419146124,696.186625677533,362.840670538239,294.931234132449,114.329319799658
94002,940020103,Diderot Louis Blanc,Alfortville,Grand Paris Sud Est Avenir,2676.39635709631,97.0890404523179,92.6129927129455,134.028500595995,128.340937692595,221.305713166343,765.374622157732,564.88352583765,279.183141493873,271.675429147062,121.902453839798
94002,940020104,MarchÇ Guesde,Alfortville,Grand Paris Sud Est Avenir,3024.14262654865,114.263797194473,121.604413063596,158.194512553762,258.842077095468,223.913947986418,815.944868311391,627.553335685713,230.462065084659,263.758188011075,209.605421562096
94002,940020105,Blanqui Seine Ponton,Alfortville,Grand Paris Sud Est Avenir,3778.88323660573,217.850096229717,229.924794841356,298.869123651879,270.203626178157,257.007153846411,1151.53343599229,784.099414052719,328.079226442651,201.005786542279,40.3105788282695
94002,940020106,Micolon 14 Juillet,Alfortville,Grand Paris Sud Est Avenir,3556.2904565067,141.081629685449,96.3054929410672,214.669485978941,338.38564799639,337.802466058104,698.044425481467,705.106741268548,535.462112069437,344.742043641312,144.690411385984
94002,940020107,Mairie,Alfortville,Grand Paris Sud Est Avenir,2900.4327531702,137.538769238589,144.202903303883,130.038453523686,128.624117530255,270.532440784032,811.394695050721,603.176956015753,320.302295378466,266.405453967789,88.21666837703
94002,940020108,14 Juillet Zola,Alfortville,Grand Paris Sud Est Avenir,2540.24105917016,106.480492947057,70.5155912443758,153.632300646556,186.200961927341,204.674921527428,603.048128205414,518.12199908319,268.637153901957,300.016221313135,128.913288373701
94002,940020109,Gare,Alfortville,Grand Paris Sud Est Avenir,3231.99350043485,160.616900102965,136.542947256425,159.712895194348,171.376762955866,219.861360438233,1143.44360836762,560.312338772211,283.898030723674,247.330591823049,148.898064800462
94002,940020201,Zola Carnot,Alfortville,Grand Paris Sud Est Avenir,2434.60699021597,90.6503861826286,96.4476861234375,117.931649664383,137.874500847633,231.79052509108,716.956141907302,505.134565599572,217.711897272004,213.631249604498,106.478387923432
