CODE_IRIS,INSEE_COM,NOM_COM,IRIS,NOM_IRIS,TYP_IRIS,LIB_EPCI,A203,B101,B102,B201,B202,B203,C101,C102,C103,C104,C105,C201,C301,C302,C303,C304,C305,C701,C702,D101,D102,D103,D201,D401,D402,D403,F101,F102,F103,F104,F107,F109,F111,F112,F114,F117,F120,F121,F203,F303,F305,F307,F312,G102,G104
751051803,75105,Paris 5e Arrondissement,1803,Jardin des Plantes 3,H,Paris,3,0,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1
751051804,75105,Paris 5e Arrondissement,1804,Jardin des Plantes 4,H,Paris,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
751051805,75105,Paris 5e Arrondissement,1805,Jardin des Plantes 5,H,Paris,0,0,0,1,4,3,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
751051806,75105,Paris 5e Arrondissement,1806,Jardin des Plantes 6,H,Paris,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751051807,75105,Paris 5e Arrondissement,1807,Jardin des Plantes 7,H,Paris,2,0,2,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
751051808,75105,Paris 5e Arrondissement,1808,Jardin des Plantes 8,H,Paris,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
751051809,75105,Paris 5e Arrondissement,1809,Jardin des Plantes,D,Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
751051899,75105,Paris 5e Arrondissement,1899,Seine et Berges 2,D,Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
751051901,75105,Paris 5e Arrondissement,1901,Val de GrÉce 1,H,Paris,0,0,0,1,4,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
751051902,75105,Paris 5e Arrondissement,1902,Val de GrÉce 2,H,Paris,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
751051903,75105,Paris 5e Arrondissement,1903,Val de GrÉce 3,H,Paris,0,0,0,1,5,3,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,2,1
