"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","P13_POP","P13_POP0024_CALC","P13_POP1824","P13_POP65P","P13_POP0014","P13_POP1529","P13_POP3044","P13_POP4559","P13_POP6074","P13_POP75P"
"751051809","75105","75","Paris 5e Arrondissement","Jardin des Plantes","750161","7510518","D","00","3",0,0,0,0,0,0,0,0,0,0
"751051808","75105","75","Paris 5e Arrondissement","Jardin des Plantes 8","750171","7510518","H","00","1",1951,589,216,406,321,412,400,301,300,217
"751051907","75105","75","Paris 5e Arrondissement","Val de Grace 7","750201","7510519","H","00","2",2410,978,676,430,242,920,329,372,290,256
"751051908","75105","75","Paris 5e Arrondissement","Val de Grace 8","750201","7510519","H","00","1",3063,930,591,522,250,1012,545,532,465,258
"751052004","75105","75","Paris 5e Arrondissement","Sorbonne 4","750221","7510520","H","00","1",3140,875,401,570,375,794,695,557,464,254
"751051906","75105","75","Paris 5e Arrondissement","Val de Grace 6","750201","7510519","H","00","1",2639,776,436,608,288,730,513,389,435,283
"751051807","75105","75","Paris 5e Arrondissement","Jardin des Plantes 7","750171","7510518","H","00","1",2218,632,309,319,265,647,464,368,310,164
"751052001","75105","75","Paris 5e Arrondissement","Sorbonne 1","750211","7510520","H","00","1",2634,990,672,362,274,975,520,381,308,175
"751062310","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 10","750271","7510623","H","00","2",2137,670,309,465,276,562,324,380,358,238
"751062311","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 11","750271","7510623","H","00","2",1984,544,212,483,247,468,352,298,370,248
"751062102","75106","75","Paris 6e Arrondissement","Monnaie 2","750231","7510621","H","00","1",1930,461,293,385,139,573,378,315,367,158
"751062309","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 9","750271","7510623","H","00","1",2266,614,407,555,170,655,406,321,394,321
"751062307","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 7","750261","7510623","H","00","1",1737,506,222,383,234,430,290,272,340,171
"751062201","75106","75","Paris 6e Arrondissement","Odeon 1","750241","7510622","H","00","1",1907,668,292,444,269,491,229,326,366,225
"751062103","75106","75","Paris 6e Arrondissement","Monnaie 3","750231","7510621","H","00","1",1806,414,210,369,178,449,400,280,315,184
"751062202","75106","75","Paris 6e Arrondissement","Odeon 2","750241","7510622","H","00","2",1691,480,171,380,237,351,267,358,289,188
"751062199","75106","75","Paris 6e Arrondissement","Seine et Berges","750231","7510621","D","00","3",0,0,0,0,0,0,0,0,0,0
"751062308","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 8","750261","7510623","H","00","1",3182,857,493,708,303,888,636,469,444,443
"751062305","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 5","750251","7510623","H","00","1",2691,1088,728,532,278,989,346,422,346,310
"751062306","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 6","750261","7510623","H","00","1",2633,683,247,431,327,577,525,590,377,237
"751062101","75106","75","Paris 6e Arrondissement","Monnaie 1","750231","7510621","H","00","1",1916,548,328,296,170,530,450,335,265,165
"751062302","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 2","750251","7510623","H","00","1",2037,747,436,369,222,629,310,333,367,176
"751062303","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 3","750251","7510623","H","00","2",2084,553,320,598,184,536,273,358,376,356
"751062304","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 4","750271","7510623","H","00","1",1932,603,260,459,263,452,289,357,321,251
"751062205","75106","75","Paris 6e Arrondissement","Jardin du Luxembourg","750241","7510622","D","00","3",69,27,11,0,16,16,11,21,5,0
"751062301","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 1","750251","7510623","H","00","2",1555,425,202,410,173,371,284,226,308,194
"751062402","75106","75","Paris 6e Arrondissement","Saint-Germain des Pres 2","750281","7510624","H","00","1",2770,638,289,803,301,533,458,495,608,375
"751062204","75106","75","Paris 6e Arrondissement","Odeon 4","750241","7510622","H","00","1",2860,1019,702,476,238,976,458,486,464,239
"751062203","75106","75","Paris 6e Arrondissement","Odeon 3","750241","7510622","H","00","2",2268,603,365,363,184,768,464,361,340,151
"751062401","75106","75","Paris 6e Arrondissement","Saint-Germain des Pres 1","750281","7510624","H","00","2",2025,525,276,420,200,525,390,396,300,213
"751062499","75106","75","Paris 6e Arrondissement","Seine et Berges","750281","7510624","D","00","3",0,0,0,0,0,0,0,0,0,0
"751072703","75107","75","Paris 7e Arrondissement","Ecole Militaire 3","750331","7510727","H","00","2",1855,608,226,388,297,398,292,360,328,181
"751072506","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 6","750301","7510725","H","00","1",2904,806,422,686,299,734,455,543,534,339
"751072810","75107","75","Paris 7e Arrondissement","Gros Caillou 10","750361","7510728","H","00","1",3055,909,457,470,384,877,702,454,398,240
"751072507","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 7","750311","7510725","A","00","3",0,0,0,0,0,0,0,0,0,0
"751072811","75107","75","Paris 7e Arrondissement","Gros Caillou 11","750361","7510728","H","00","2",2090,647,243,414,308,453,359,431,352,187
"751072705","75107","75","Paris 7e Arrondissement","Ecole Militaire 5","750331","7510727","H","00","1",2200,586,218,522,274,424,369,425,508,201
"751072809","75107","75","Paris 7e Arrondissement","Gros Caillou 9","750361","7510728","H","00","2",2336,724,187,374,455,416,497,457,296,215
"751072505","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 5","750301","7510725","H","00","2",1741,435,215,461,184,378,243,345,380,211
"751072702","75107","75","Paris 7e Arrondissement","Ecole Militaire 2","750321","7510727","H","00","2",1851,524,292,373,170,562,260,352,292,216
"751072808","75107","75","Paris 7e Arrondissement","Gros Caillou 8","750361","7510728","H","00","2",1717,437,152,374,245,318,341,305,322,186
"751072704","75107","75","Paris 7e Arrondissement","Ecole Militaire 4","750331","7510727","H","00","1",1764,467,159,404,254,317,351,329,277,237
"751072812","75107","75","Paris 7e Arrondissement","Champ de Mars","750351","7510728","D","00","3",0,0,0,0,0,0,0,0,0,0
"751072706","75107","75","Paris 7e Arrondissement","Ecole Militaire 6","750321","7510727","H","00","1",1754,560,241,287,238,508,333,311,207,157
"751072606","75107","75","Paris 7e Arrondissement","Invalides 6","750291","7510726","D","00","3",112,14,4,48,9,7,19,20,14,42
"751072699","75107","75","Paris 7e Arrondissement","Seine et Berges","750291","7510726","D","00","3",0,0,0,0,0,0,0,0,0,0
"751072701","75107","75","Paris 7e Arrondissement","Ecole Militaire 1","750321","7510727","H","00","1",2904,686,402,694,222,802,506,485,558,332
"751072604","75107","75","Paris 7e Arrondissement","Invalides 4","750291","7510726","H","00","2",1314,349,167,284,158,268,253,257,226,152
"751072605","75107","75","Paris 7e Arrondissement","Invalides 5","750291","7510726","A","00","3",29,10,2,0,4,6,4,16,0,0
"751072707","75107","75","Paris 7e Arrondissement","Ecole Militaire 7","750331","7510727","A","00","3",87,19,9,0,9,24,43,9,1,0
"751072805","75107","75","Paris 7e Arrondissement","Gros Caillou 5","750351","7510728","H","00","1",3409,953,543,593,356,1057,746,466,483,301
"751072806","75107","75","Paris 7e Arrondissement","Gros Caillou 6","750351","7510728","H","00","1",1984,518,151,505,300,288,349,400,369,277
"751072807","75107","75","Paris 7e Arrondissement","Gros Caillou 7","750351","7510728","H","00","1",2316,670,181,470,423,305,446,468,422,253
"751072804","75107","75","Paris 7e Arrondissement","Gros Caillou 4","750341","7510728","H","00","1",3411,909,390,628,440,818,761,605,457,330
"751072899","75107","75","Paris 7e Arrondissement","Seine et Berges","750361","7510728","D","00","3",0,0,0,0,0,0,0,0,0,0
"751072801","75107","75","Paris 7e Arrondissement","Gros Caillou 1","750341","7510728","H","00","2",2614,818,312,406,432,606,614,398,377,187
"751072802","75107","75","Paris 7e Arrondissement","Gros Caillou 2","750341","7510728","H","00","2",1959,601,226,269,319,474,500,296,221,150
"751072508","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 8","750301","7510725","A","00","3",9,3,0,0,3,0,0,5,0,0
"751072501","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 1","750311","7510725","H","00","2",2072,618,355,487,221,515,295,398,406,237
"751072502","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 2","750311","7510725","H","00","1",1574,410,142,363,206,298,255,320,347,148
