"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","C13_POP15P_CS7_tx","P13_ACT1564_tx","P13_CHOM1564_tx","P13_ETUD1564_tx","P13_ACT1524_tx","P13_CHOM1524_tx","P13_SAL15P_CDD_tx","P13_SAL15P_INTERIM_tx"
"751072705","75107","75","Paris 7e Arrondissement","Ecole Militaire 5","750331","7510727","H","00","1",21.5,65.3,7.2,18.1,25,16.7,11.8,0.9
"751072809","75107","75","Paris 7e Arrondissement","Gros Caillou 9","750361","7510728","H","00","2",17.3,74.6,9.7,13.5,26.4,25.4,6.6,0.7
"751072505","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 5","750301","7510725","H","00","2",24.9,70.5,10.2,17.3,30.7,19.5,11.5,0.6
"751072702","75107","75","Paris 7e Arrondissement","Ecole Militaire 2","750321","7510727","H","00","2",20.3,69.1,10.6,20.7,28.5,5.9,14.6,0
"751072808","75107","75","Paris 7e Arrondissement","Gros Caillou 8","750361","7510728","H","00","2",21.9,76,11,12,30.9,11.9,6.6,0
"751072704","75107","75","Paris 7e Arrondissement","Ecole Militaire 4","750331","7510727","H","00","1",23.1,75.9,8,14.9,30,14.1,7.7,1.5
"751072812","75107","75","Paris 7e Arrondissement","Champ de Mars","750351","7510728","D","00","3",0,0,0,0,0,0,0,0
"751072706","75107","75","Paris 7e Arrondissement","Ecole Militaire 6","750321","7510727","H","00","1",16.4,74.5,6.6,18,37.7,15.7,15.2,0.4
"751072606","75107","75","Paris 7e Arrondissement","Invalides 6","750291","7510726","D","00","3",42.1,63.6,0,3.6,60,0,22.9,2.9
"751072699","75107","75","Paris 7e Arrondissement","Seine et Berges","750291","7510726","D","00","3",0,0,0,0,0,0,0,0
"751072701","75107","75","Paris 7e Arrondissement","Ecole Militaire 1","750321","7510727","H","00","1",24.5,73.4,8.4,16.8,35.3,10.4,14.9,0.8
"751072604","75107","75","Paris 7e Arrondissement","Invalides 4","750291","7510726","H","00","2",17.6,75.7,10.9,14,40.5,15.6,16.7,2.1
