"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","DEC_TP6013","DEC_MED13"
"751103907","75110","75","Paris 10e Arrondissement","Porte Saint-Martin 7","750601","7511039","H","00","1","20,3",24530
"751103703","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 3","750631","7511037","H","00","1","23,1",26548
"751103803","75110","75","Paris 10e Arrondissement","Porte Saint-Denis 3","750611","7511038","H","00","1","21,5",28688
"751104009","75110","75","Paris 10e Arrondissement","Hopital Saint-Louis 9","750541","7511040","H","00","1","15,9",29974
"751103804","75110","75","Paris 10e Arrondissement","Porte Saint-Denis 4","750611","7511038","H","00","1","22,2",28904
"751103802","75110","75","Paris 10e Arrondissement","Porte Saint-Denis 2","750611","7511038","H","00","1","36,0",17026
"751103701","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 1","750531","7511037","H","00","1","20,6",26942
"751103906","75110","75","Paris 10e Arrondissement","Porte Saint-Martin 6","750601","7511039","H","00","1","22,0",26660
"751104008","75110","75","Paris 10e Arrondissement","Hopital Saint-Louis 8","750541","7511040","H","00","1","27,0",22260
"751103702","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 2","750531","7511037","H","00","1","25,4",24684
"751103712","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 12","750521","7511037","A","00","3",,
"751103801","75110","75","Paris 10e Arrondissement","Porte Saint-Denis 1","750621","7511038","H","00","1","24,1",25652
"751103708","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 8","750521","7511037","H","00","1","20,6",26936
"751103709","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 9","750531","7511037","H","00","1","25,6",23292
"751103710","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 10","750631","7511037","A","00","3",,
"751104010","75110","75","Paris 10e Arrondissement","Hopital Saint-Louis 10","750551","7511040","H","00","1","29,3",20300
"751104007","75110","75","Paris 10e Arrondissement","Hopital Saint-Louis 7","750551","7511040","H","00","1","25,5",22146
"751103905","75110","75","Paris 10e Arrondissement","Porte Saint-Martin 5","750601","7511039","H","00","2","26,4",26072
"751103704","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 4","750631","7511037","H","00","2","13,9",33778
"751103711","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 11","750511","7511037","A","00","3",,
"751103707","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 7","750521","7511037","H","00","1","29,2",23748
"751104012","75110","75","Paris 10e Arrondissement","Hopital Saint-Louis 12","750551","7511040","A","00","3",,
"751104004","75110","75","Paris 10e Arrondissement","Hopital Saint-Louis 4","750571","7511040","H","00","1","37,2",17856
"751103706","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 6","750511","7511037","H","00","2","18,3",30392
"751104006","75110","75","Paris 10e Arrondissement","Hopital Saint-Louis 6","750561","7511040","H","00","1","32,3",19526
"751104003","75110","75","Paris 10e Arrondissement","Hopital Saint-Louis 3","750571","7511040","H","00","1","27,0",22730
"751104011","75110","75","Paris 10e Arrondissement","Hopital Saint-Louis 11","750541","7511040","H","00","2","30,3",21530
"751104005","75110","75","Paris 10e Arrondissement","Hopital Saint-Louis 5","750561","7511040","H","00","1","44,4",14150
"751103705","75110","75","Paris 10e Arrondissement","Saint-Vincent de Paul 5","750511","7511037","H","00","1","14,8",34812
"751103904","75110","75","Paris 10e Arrondissement","Porte Saint-Martin 4","750581","7511039","H","00","2","17,7",29246
"751103806","75110","75","Paris 10e Arrondissement","Porte Saint-Denis 6","750621","7511038","H","00","1","18,6",30486
"751103901","75110","75","Paris 10e Arrondissement","Porte Saint-Martin 1","750581","7511039","H","00","1","19,3",29456
"751103902","75110","75","Paris 10e Arrondissement","Porte Saint-Martin 2","750581","7511039","H","00","1","17,7",30724
"751104088","75110","75","Paris 10e Arrondissement","Canal St-Martin","750541","7511040","D","00","3",,
"751103805","75110","75","Paris 10e Arrondissement","Porte Saint-Denis 5","750621","7511038","H","00","1","19,1",26620
"751103988","75110","75","Paris 10e Arrondissement","Canal St-Martin","750591","7511039","D","00","3",,
